description,JHB,EconomicDevelopment,InfrastructureServices,TransportPlanningAndProvisioning,CommunityDevelopment,HealthDepartment,SocialDevelopment,ForensicInvestigationServices,OfficeOfTheOmbudsman,OfficeOfTheCityManager,SpeakerLegislativeArmOfCouncil,InformationAndCommunicationTechnology,Finance,CorporateAndSharedServices,HumanSettlementsAndHousing,DevelopmentPlanning,SafetyAndSecurity,MunicipalEntitiesAccounts,Electricty,Water,WasteAndFleetManagement,RoadsAndTransportDepartment,Metrobus,JohannesburgCityParksAndZoo,JohannesburgDevelopmentAgency,PropertyManagementDepartment,MetropolitanTradingCompany,JoburgMarket,JohannesburgSocialHousingCompany,JoburgCityTheatres,JohannesburgTourismCompany,Total
,DepreciationAndAssetImpairment,0,0,0,0,0,0,0,0,0,0,0,1229577,0,90825,297,359586,2,750,3145343,288848,0,0,4906,0,0,0,3176,30600,0,0,5905328
,FinanceCharges,17565,14842,484863,276895,42693,12355,6861,854,11512,26664,398975,42307,37204,341601,83138,84556,1185,611,385284,93859,64041,67622,26599,3304,15456,179973,29448,1557,2586,768,4549947
,BulkPurchases,0,0,14,66,0,23,0,0,4,0,157,2856844,0,0,0,22,0,0,11415,0,0,0,13872,0,4950,0,0,1672,0,0,2889039
,OtherMaterials,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15364,0,0,0,0,0,0,0,0,0,0,0,0,15363589
,ContractedServices,538,57,3185,14090,5640,4206,274,39,2401,721,0,3213,435,885,248,12117,3,5,4434978,124982,85268,139671,9420,0,27549,86514,8167,21,57333,0,5029694
,TransfersAndSubsidies,11629,17098,1597044,203112,19641,14875,6487,8149,416667,23805,332984,583730,33190,228145,28298,140833,89,1720,1054363,233890,443787,32664,333328,7974,127937,52445,96488,70656,1893,12281,7942715
,OtherExpenditure,135323,0,525,7183,9405,6465,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,863,0,23559,0,183850
,LossOnDisposalOfPPE,35617,5667,87065,277949,68687,115666,25598,2002,632331,59446,145644,352793,110194,244208,35658,611168,571,368,487202,1229038,163435,78671,201776,12897,193619,25887,89795,84573,51304,35670,6402790
,TotalExpenditureTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2839449,0,0,0,272,0,0,30,0,0,0,0,2839751
,TransfersAndSubsidiesCapitalNatProvDist,293398,131774,2431347,1401804,1463396,368386,116619,37564,1810870,500752,962408,6136395,602981,1097601,457586,6081205,1851032,20450273,13935429,3508805,1662780,634761,1282410,113701,839294,381600,424920,346301,244436,79192,69649019
,TransfersAndSubsidiesCapitalNatProvAgencies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TransfersAndSubsidiesCapitalInKindAll,166198,37667,1184647,1344731,1272771,367631,116619,36564,1731972,500752,962408,19040395,590410,1000309,363902,4755662,1663910,967121,2108683,1076712,1531195,544286,1207285,30930,749935,324982,145974,55809,190474,79192,375221
,SurplusOrDeficitAfterCapitalTransfersAndContributions,0,0,320006,0,0,0,0,0,0,0,0,0,0,984460,0,0,223,300,381720,0,0,0,0,0,0,0,0,0,0,0,2209403
