description,JHB,EconomicDevelopment,InfrastructureServices,TransportPlanningAndProvisioning,CommunityDevelopment,HealthDepartment,SocialDevelopment,ForensicInvestigationServices,OfficeOfTheOmbudsman,OfficeOfTheCityManager,SpeakerLegislativeArmOfCouncil,InformationAndCommunicationTechnology,Finance,CorporateAndSharedServices,HumanSettlementsAndHousing,DevelopmentPlanning,SafetyAndSecurity,MunicipalEntitiesAccounts,Electricty,Water,WasteAndFleetManagement,RoadsAndTransportDepartment,Metrobus,JohannesburgCityParksAndZoo,JohannesburgDevelopmentAgency,PropertyManagementDepartment,MetropolitanTradingCompany,JoburgMarket,JohannesburgSocialHousingCompany,JoburgCityTheatres,Total
,RemunerationOfCouncillors,0,0,0,0,0,0,0,0,1670,175046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176716
,DebtImpairment,0,32300,0,0,0,0,0,0,0,0,0,1266459,0,94227,271,328814,2,538,2729678,348896,0,0,4397,0,0,0,0,14211,0,5359258
,DepreciationAndAssetImpairment,16132,13572,705371,282376,31389,11298,802,681,12382,24383,340863,39295,38681,313114,76025,77325,1064,560,352674,115223,58700,61835,40570,3035,14133,164571,27965,1430,1744,4449628
,FinanceCharges,0,0,7,0,0,21,0,0,2,0,0,3014650,0,0,0,0,0,0,17500,0,0,0,0,0,1130,0,0,1536,0,3034846
,BulkPurchases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12802,6531536,0,0,0,0,0,0,0,0,0,0,19333614
,OtherMaterials,10958,1094,58095,183499,14931,10894,58,0,8412,4696,1032,12802,871,113253,1121,95744,65,1084,32773,8010,23783,79603,38958,828,123023,13860,24126,55558,3522,2070457
,ContractedServices,3023,17598,685089,10224,15633,11044,5020,8009,127987,20535,287162,128374,13801,55177,10874,418903,24,270,674433,766144,282578,15648,59678,8557,29662,14801,51246,1209,2118,4018958
,TransfersAndSubsidies,1980,0,12342,6975,8138,5903,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,21512,56852
,OtherExpenditure,43140,3080,143422,278318,63079,234640,25521,586,746030,48389,57706,621967,113662,214134,32651,422855,515,360,522891,278814,275688,199497,350997,10127,279270,100106,86889,37470,77658,6143409
,LossOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TotalExpenditureTest,170139,143881,1803179,1304280,1212947,461922,102499,29718,1518183,468508,760019,6064988,450423,977302,397418,5815666,1670,16952,12195870,2831480,1428365,690346,1123989,107492,854908,327446,344619,213472,205044,60626223
,TransfersAndSubsidiesCapitalNatProvDist,0,0,244153,0,36000,0,0,0,0,0,0,0,0,909997,137160,0,428000,98377,375913,0,0,0,0,0,0,0,0,0,0,2229600
,TransfersAndSubsidiesCapitalNatProvAgencies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34700,349626,0,0,0,0,0,0,0,0,0,0,0,384326
,TransfersAndSubsidiesCapitalInKindAll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,SurplusOrDeficitAfterCapitalTransfersAndContributions,0,0,244153,0,36000,0,0,0,0,0,0,0,0,909997,137160,0,462700,448003,375913,0,0,0,0,0,0,0,0,0,0,2613926
